id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
1394973,Lesser Matters,,https://dou.img.lithub.cc/music/1394973.jpg,2003,https://music.douban.com/subject/1394973/,8.8,摇滚,4,从儿时穿越过来的一张专辑。现在我也经常无意识地写下：Strange Things Will Happen,,2023-05-26 09:29:46,The Radio Dept. / 2003
36253535,"Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)",,https://dou.img.lithub.cc/music/36253535.jpg,2023-05-12,https://music.douban.com/subject/36253535/,8.1,摇滚,5,太丰富、太精致了,,2023-05-24 11:33:18,Yves Tumor / 2023
33407018,I want to be there,,https://dou.img.lithub.cc/music/33407018.jpg,2019-04-07,https://music.douban.com/subject/33407018/,7.6,摇滚,,别吼了,,2023-05-20 05:57:45,Sadness / 2019
2075582,No One Waved Goodbye,,https://dou.img.lithub.cc/music/2075582.jpg,01.03.2004,https://music.douban.com/subject/2075582/,9.2,流行,,别开口。。。,,2023-05-19 03:41:51,Tacoma Radar / 01.03.2004
35389978,To See the Next Part of the Dream,,https://dou.img.lithub.cc/music/35389978.jpg,2021-02-23,https://music.douban.com/subject/35389978/,8.1,摇滚,4,cut: White Ceiling,,2023-05-19 03:27:34,파란노을 (Parannoul) / 2021
36354802,春游,,https://dou.img.lithub.cc/music/36354802.jpg,2023-04-24,https://music.douban.com/subject/36354802/,7.7,流行,1,。。,,2023-05-12 08:52:53,窦靖童 / 2023
34965756,豆皮少年,,https://dou.img.lithub.cc/music/34965756.jpg,2020-02-07,https://music.douban.com/subject/34965756/,7.2,流行,5,那些轻快的短句，会让二三十岁的年轻人怀念起十几岁那些没有经历过的事。cut: 在船底搔痒、塔悠,,2023-05-11 11:27:14,热写生 / 2020
36364244,刘艳芬,,https://dou.img.lithub.cc/music/36364244.jpg,2023-04-25,https://music.douban.com/subject/36364244/,8.1,流行,3,还是悦耳的。但是旋律有些旧了，延续后座剧场的对白也很出戏。要是更 indie 或更摇滚一些就好了,,2023-05-11 11:25:02,易烊千玺 / 2023
1439558,In the Aeroplane Over the Sea,,https://dou.img.lithub.cc/music/1439558.jpg,1998,https://music.douban.com/subject/1439558/,8.6,民谣,5,不会过誉的专辑。可以重建人类文明的私人情绪,,2023-05-07 13:08:06,Neutral Milk Hotel / 1998
35184899,Can You Hear The Whistle Blow,,https://dou.img.lithub.cc/music/35184899.jpg,2020-08-20,https://music.douban.com/subject/35184899/,7.6,摇滚,3,塑料,,2023-05-06 16:38:48,缺省Default / 2020
6885226,Crystallize,,https://dou.img.lithub.cc/music/6885226.jpg,2011-11-23,https://music.douban.com/subject/6885226/,8.8,摇滚,3,,,2023-05-05 05:57:22,Tokyo Shoegazer 東京酒吐座 / 2011
35745904,无浪击石,,https://dou.img.lithub.cc/music/35745904.jpg,2022-01-20,https://music.douban.com/subject/35745904/,7.1,摇滚,,还是适合在肮脏、昏暗、逼仄的现场里听，听他们低昂的情绪和晦显的怀感。录音后显得机械和琐碎了，当然跟制作也有关系,,2023-05-05 05:56:50,固体李逵 Solid Liqui / 2022
35016389,L'ULTIMO SALOON DEL WEST,,https://dou.img.lithub.cc/music/35016389.jpg,2020-04-01,https://music.douban.com/subject/35016389/,8.5,摇滚,2,,,2023-05-05 05:51:41,THE BAD MOLDS / 2020
26998943,California Nebula,,https://dou.img.lithub.cc/music/26998943.jpg,2017-05-13,https://music.douban.com/subject/26998943/,7.8,摇滚,,年轻,,2023-05-05 05:50:50,缺省 / 2017
36322262,Live at Bush Hall,,https://dou.img.lithub.cc/music/36322262.jpg,2023-03-24,https://music.douban.com/subject/36322262/,8.3,摇滚,,,,2023-04-30 05:47:11,"Black Country, New Road / 2023"
35267918,后座剧场,,https://dou.img.lithub.cc/music/35267918.jpg,2020-11-27,https://music.douban.com/subject/35267918/,8.5,流行,,好玩的小项目，顶多算个EP吧,,2023-04-27 07:38:46,易烊千玺 Jackson Yee / 2020
25893150,相見恨晚,,https://dou.img.lithub.cc/music/25893150.jpg,2014-07-24,https://music.douban.com/subject/25893150/,9.5,摇滚,5,之前听不懂。现在听懂了。,,2023-04-24 04:20:58,腰乐队 / 2014
2972633,他们说忘了摇滚有问题,,https://dou.img.lithub.cc/music/2972633.jpg,2008-01-30,https://music.douban.com/subject/2972633/,8.9,摇滚,5,太牛了。让所有人唱起来，让所有人加入进来,,2023-04-24 04:20:19,腰 / 2008
36461923,重拾_快乐,,https://dou.img.lithub.cc/music/36461923.jpg,2023-04-21,https://music.douban.com/subject/36461923/,7.2,流行,,,,2023-04-23 16:59:02,林俊杰 / 2023
33446085,没有鸟鸣，关上窗吧,,https://dou.img.lithub.cc/music/33446085.jpg,2019-05-14,https://music.douban.com/subject/33446085/,8.5,摇滚,,太太太土了吧,,2023-04-09 07:50:22,声音碎片 / 2019
36089932,Alpha Zulu,,https://dou.img.lithub.cc/music/36089932.jpg,2022-11-04,https://music.douban.com/subject/36089932/,6.4,流行,2,好难听……,,2023-04-07 12:20:18,Phoenix / 2022
36333784,悲伤朋克,,https://dou.img.lithub.cc/music/36333784.jpg,2023-03-28,https://music.douban.com/subject/36333784/,6.1,摇滚,,,,2023-04-07 12:19:32,新裤子 / 2023
35403580,爱 广播 飞机,,https://dou.img.lithub.cc/music/35403580.jpg,2021-03-19,https://music.douban.com/subject/35403580/,6.2,摇滚,,,,2023-04-05 06:56:46,新裤子 newpants / 2021
36253654,the record,,https://dou.img.lithub.cc/music/36253654.jpg,2023-03-31,https://music.douban.com/subject/36253654/,8,摇滚,,仅仅一年我就对这些情绪毫无感觉了,,2023-04-05 06:30:13,boygenius / 2023
36222261,UGLY,,https://dou.img.lithub.cc/music/36222261.jpg,2023-03-03,https://music.douban.com/subject/36222261/,7.2,流行,5,"太爽了。cut: Yum, UGLY, Falling, 25% Club",,2023-04-03 13:46:13,slowthai / 2023
36252767,Dogsbody,,https://dou.img.lithub.cc/music/36252767.jpg,2023-02-24,https://music.douban.com/subject/36252767/,7.7,摇滚,4,够硬，够锋利,,2023-04-03 13:44:40,Model/Actriz / 2023
35431082,Home Video,,https://dou.img.lithub.cc/music/35431082.jpg,2021-06-25,https://music.douban.com/subject/35431082/,7.8,流行,3,感觉制作有点俗套。boygenius 三人的个人作品我都没啥感觉,,2023-03-31 04:08:35,Lucy Dacus / 2021
35608696,Dandelion,,https://dou.img.lithub.cc/music/35608696.jpg,2021-09-24,https://music.douban.com/subject/35608696/,7.1,民谣,3,制作很丰富，声音处理太好了，但是旋律写的太土了,,2023-03-29 08:20:28,The Greeting Committe / 2021
